"positions"	"names"
"1"	"Stirling Moss"
"2"	"Juan Manuel Fangio"
"4"	"Karl Kling"
"5"	"Piero Taruffi"
"9"	"Luigi Musso"
"12"	"Mike Hawthorn"
"12"	"Eugenio Castellotti"
"23"	"Mike Sparken"
"16"	"Lance Macklin"
"15"	"Harry Schell"
"15"	"Ken Wharton"
"13"	"Maurice Trintignant"
"6"	"Roberto Mieres"
"25"	"Jack Brabham"
"17"	"Kenneth McAlpine"
"24"	"Peter Collins"
"18"	"Hermano da Silva Ramos"
"20"	"Roy Salvadori"
"22"	"Horace Gould"
"7"	"Harry Schell"
"14"	"Peter Walker"
"14"	"Tony Rolt"
"19"	"Leslie Marr"
"10"	"Eugenio Castellotti"
"8"	"Andre Simon"
"3"	"Jean Behra"
"11"	"Robert Manzon"
"21"	"Jack Fairman"
