"positions"	"names"
"3"	"Juan Manuel Fangio"
"
"	"Nino Farina"
"1"	"Jose Froilan Gonzalez"
""	"Maurice Trintignant"
"5"	"Nino Farina"
"5"	"Umberto Maglioli"
"5"	"Maurice Trintignant"
"10"	"Karl Kling"
"10"	"Stirling Moss"
"10"	"Hans Herrmann"
"16"	"Roberto Mieres"
"7"	"Harry Schell"
"7"	"Jean Behra"
"18"	"Sergio Mantovani"
"18"	"Luigi Musso"
"18"	"Harry Schell"
"19"	"Luigi Musso"
"19"	"Jean Behra"
"19"	"Sergio Mantovani"
"20"	"Clemar Bucci"
"20"	"Carlos Menditeguy"
"20"	"Harry Schell"
"17"	"Jesus Iglesias"
"14"	"Maurice Trintignant"
"12"	"Luigi Villoresi"
"12"	"Eugenio Castellotti"
"8"	"Stirling Moss"
"21"	"Alberto Uria"
"2"	"Alberto Ascari"
"15"	"Elie Bayol"
"4"	"Jean Behra"
"6"	"Karl Kling"
"11"	"Luigi Villoresi"
"9"	"Pablo Birger"
"13"	"Carlos Menditeguy"
