"positions"	"names"
"14"	"Bob Sweikert"
"2"	"Paul Russo"
"2"	"Tony Bettenhausen"
"10"	"Jimmy Davies"
"33"	"Johnny Thomson"
"7"	"Walt Faulkner"
"7"	"Bill Homeier"
"8"	"Andy Linden"
"16"	"Al Herman"
"19"	"Pat O'Connor"
"17"	"Jimmy Daywalt"
"12"	"Pat Flaherty"
"18"	"Duane Carter"
"25"	"Chuck Weyant"
"32"	"Eddie Johnson"
"20"	"Jim Rathmann"
"21"	"Don Freeland"
"9"	"Cal Niday"
"24"	"Art Cross"
"31"	"Shorty Templeman"
"6"	"Sam Hanks"
"28"	"Keith Andrews"
"27"	"Johnnie Parsons"
"13"	"Eddie Russo"
"23"	"Ray Crawford"
"11"	"Jimmy Bryan"
"5"	"Bill Vukovich"
"3"	"Jack McGrath"
"22"	"Al Keller"
"30"	"Rodger Ward"
"26"	"Johnny Boyd"
"29"	"Ed Elisian"
"1"	"Jerry Hoyt"
"4"	"Fred Agabashian"
"15"	"Jimmy Reece"
