"positions"	"names"
"9"	"Maurice Trintignant"
"4"	"Eugenio Castellotti"
"5"	"Jean Behra"
"5"	"Cesare Perdisa"
"14"	"Nino Farina"
"7"	"Luigi Villoresi"
"19"	"Louis Chiron"
"20"	"Jacques Pollet"
"15"	"Piero Taruffi"
"15"	"Paul Frere"
"3"	"Stirling Moss"
"11"	"Cesare Perdisa"
"11"	"Jean Behra"
"2"	"Alberto Ascari"
"18"	"Harry Schell"
"6"	"Roberto Mieres"
"16"	"Elie Bayol"
"1"	"Juan Manuel Fangio"
"13"	"Robert Manzon"
"10"	"Andre Simon"
"12"	"Mike Hawthorn"
"17"	"Louis Rosier"
"8"	"Luigi Musso"
""	"Lance Macklin"
""	"Ted Whiteaway"
""	"Hans Herrmann"
""	""
""	""
""	""
