"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"McLaren Mercedes"
"2"	"Adrian"	"Sutil"	"SUT"	"Force India Mercedes"
"3"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"4"	"Heikki"	"Kovalainen"	"KOV"	"McLaren Mercedes"
"5"	"Rubens"	"Barrichello"	"BAR"	"Brawn Mercedes"
"6"	"Jenson"	"Button"	"BUT"	"Brawn Mercedes"
"7"	"Vitantonio"	"Liuzzi"	"LIU"	"Force India Mercedes"
"8"	"Fernando"	"Alonso"	"ALO"	"Renault"
"9"	"Sebastian"	"Vettel"	"VET"	"RBR Renault"
"10"	"Mark"	"Webber"	"WEB"	"RBR Renault"
"11"	"Jarno"	"Trulli"	"TRU"	"Toyota"
"12"	"Romain"	"Grosjean"	"GRO"	"Renault"
"13"	"Robert"	"Kubica"	"KUB"	"Sauber BMW"
"14"	"Giancarlo"	"Fisichella"	"FIS"	"Ferrari"
"15"	"Nick"	"Heidfeld"	"HEI"	"Sauber BMW"
"16"	"Timo"	"Glock"	"GLO"	"Toyota"
"17"	"Kazuki"	"Nakajima"	"NAK"	"Williams Toyota"
"18"	"Nico"	"Rosberg"	"ROS"	"Williams Toyota"
"19"	"Sebastien"	"Buemi"	"BUE"	"STR Ferrari"
"20"	"Jaime"	"Alguersuari"	"ALG"	"STR Ferrari"
