"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"2"	"John"	"Surtees"	"SUR"	"Ferrari"
"3"	"Lorenzo"	"Bandini"	"BAN"	"Cooper Climax"
"4"	"Graham"	"Hill"	"HIL"	"BRM"
"5"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"6"	"Richie"	"Ginther"	"GIN"	"BRM"
"7"	"Willy"	"Mairesse"	"MAI"	"Ferrari"
"8"	"Jack"	"Brabham"	"BRA"	"Lotus Climax"
"9"	"Jo"	"Siffert"	"SIF"	"Lotus BRM"
"10"	"Tony"	"Maggs"	"MAG"	"Cooper Climax"
"11"	"Innes"	"Ireland"	"IRE"	"Lotus BRM"
"12"	"Jo"	"Bonnier"	"BON"	"Cooper Climax"
"13"	"Dan"	"Gurney"	"GUR"	"Lotus Climax"
"14"	"Chris"	"Amon"	"AMO"	"Lola Climax"
"15"	"Gerhard"	"Mitter"	"MIT"	"Porsche"
"16"	"Jim "	"Hall "	"HAL"	"Lotus BRM"
"17"	"Carel Godin"	"de Beaufort "	"DEB"	"Porsche"
"18"	"Trevor "	"Taylor "	"TAY"	"Lotus Climax"
"19"	"Ian"	"Burgess "	"BUR"	"Scirocco BRM"
"20"	"Mario "	"de Araujo Cabral "	"DEA"	"Cooper Climax"
"21"	"Bernard "	"Collomb "	"COL"	"Lotus Climax"
"22"	"Tony "	"Settember "	"SET"	"Scirocco BRM"
