"positions"	"names"
"2"	"Tony Brooks"
"6"	"Roy Salvadori"
"7"	"Maurice Trintignant"
"5"	"Wolfgang von Trips"
"12"	"Bruce McLaren"
"13"	"Edgar Barth"
"11"	"Ian Burgess"
"14"	"Tony Marsh"
"10"	"Phil Hill"
"24"	"Cliff Allison"
"16"	"Ivor Bueb"
"1"	"Mike Hawthorn"
"4"	"Peter Collins"
"17"	"Wolfgang Seidel"
"8"	"Harry Schell"
"23"	"Christian Goethals"
"22"	"Graham Hill"
"9"	"Jean Behra"
"15"	"Carel Godin de Beaufort"
"20"	"Hans Herrmann"
"3"	"Stirling Moss"
"18"	"Dick Gibson"
"25"	"Brian Naylor"
"19"	"Jack Brabham"
"21"	"Jo Bonnier"
"<br>"	"Troy Ruttman"
