"positions"	"names"
"5"	"Maurice Trintignant"
"10"	"Luigi Musso"
"9"	"Peter Collins"
"3"	"Jack Brabham"
"12"	"Harry Schell"
"13"	"Cliff Allison"
"11"	"Wolfgang von Trips"
"16"	"Jo Bonnier"
"15"	"Graham Hill"
"4"	"Roy Salvadori"
"6"	"Mike Hawthorn"
"8"	"Stirling Moss"
"2"	"Jean Behra"
"14"	"Giorgio Scarlatti"
"1"	"Tony Brooks"
"7"	"Stuart Lewis-Evans"
"<br>"	"Ron Flockhart"
"<br>"	"Ken Kavanagh"
"<br>"	"Gerino Gerini"
"<br>"	"Bruce Kessler"
"<br>"	"Paul Emery"
"<br>"	"Maria Teresa de Filippis"
"<br>"	"Andre Testut"
"<br>"	"Giulio Cabianca"
"<br>"	"Luigi Piotti"
"<br>"	"Horace Gould"
"<br>"	"Ron Flockhart"
"<br>"	"Bernie Ecclestone"
"<br>"	"Luigi Taramazzo"
"<br>"	"Louis Chiron"
"<br>"	"Paco Godia"
