"positions"	"names"
"7"	"Jimmy Bryan"
"25"	"George Amick"
"8"	"Johnny Boyd"
"9"	"Tony Bettenhausen"
"20"	"Jim Rathmann"
"3"	"Jimmy Reece"
"13"	"Don Freeland"
"19"	"Jud Larson"
"26"	"Eddie Johnson"
"33"	"Bill Cheesbourg"
"21"	"Al Keller"
"6"	"Johnnie Parsons"
"30"	"Johnnie Tolan"
"17"	"Bob Christie"
"32"	"Dempsey Wilson"
"12"	"Anthony Joseph Foyt"
"31"	"Mike Magill"
"14"	"Paul Russo"
"23"	"Shorty Templeman"
"11"	"Rodger Ward"
"15"	"Billy Garrett"
"18"	"Eddie Sachs"
"22"	"Johnny Thomson"
"29"	"Chuck Weyant"
"10"	"Jack Turner"
"4"	"Bob Veith"
"1"	"Dick Rathmann"
"2"	"Ed Elisian"
"5"	"Pat O'Connor"
"16"	"Paul Goldsmith"
"24"	"Jerry Unser"
"27"	"Len Sutton"
"28"	"Art Bisch"
