"positions"	"names"
"2"	"Juan Manuel Fangio"
"12"	"Alfonso de Portago"
"12"	"Peter Collins"
"13"	"Jean Behra"
"21"	"Jack Fairman"
"14"	"Horace Gould"
"19"	"Luigi Villoresi"
"15"	"Cesare Perdisa"
"25"	"Paco Godia"
"18"	"Robert Manzon"
"8"	"Eugenio Castellotti"
"8"	"Alfonso de Portago"
"22"	"Bob Gerard"
"1"	"Stirling Moss"
"5"	"Harry Schell"
"11"	"Desmond Titterington"
"16"	"Maurice Trintignant"
"26"	"Hermano da Silva Ramos"
"4"	"Peter Collins"
"7"	"Roy Salvadori"
"9"	"Tony Brooks"
"3"	"Mike Hawthorn"
"27"	"Louis Rosier"
"20"	"Bruce Halford"
"24"	"Umberto Maglioli"
"10"	"Archie Scott-Brown"
"23"	"Paul Emery"
"28"	"Jack Brabham"
"17"	"Ron Flockhart"
"6"	"Jose Froilan Gonzalez"
