"positions"	"names"
"6"	"Stirling Moss"
"7"	"Peter Collins"
"7"	"Juan Manuel Fangio"
"26"	"Ron Flockhart"
"18"	"Paco Godia"
"16"	"Jack Fairman"
"15"	"Luigi Piotti"
"19"	"Toulo de Graffenried"
"1"	"Juan Manuel Fangio"
""	"Eugenio Castellotti"
"25"	"Andre Simon"
"17"	"Gerino Gerini"
"14"	"Roy Salvadori"
"3"	"Luigi Musso"
"13"	"Umberto Maglioli"
"13"	"Jean Behra"
"10"	"Harry Schell"
"5"	"Jean Behra"
"22"	"Bruce Halford"
"11"	"Maurice Trintignant"
"4"	"Piero Taruffi"
"2"	"Eugenio Castellotti"
"8"	"Luigi Villoresi"
"8"	"Jo Bonnier"
"23"	"Robert Manzon"
"9"	"Alfonso de Portago"
"20"	"Les Leston"
"21"	"Hermano da Silva Ramos"
""	"Wolfgang von Trips"
""	""
