"positions"	"names"
"1"	"Juan Manuel Fangio"
"4"	"Stirling Moss"
"8"	"Jean Behra"
"16"	"Paco Godia"
"14"	"Louis Rosier"
"11"	"Bruce Halford"
"19"	"Ottorino Volonterio"
"21"	"Andre Milhoux"
"10"	"Alfonso de Portago"
"10"	"Peter Collins"
"20"	"Luigi Villoresi"
"12"	"Harry Schell"
"5"	"Eugenio Castellotti"
"5"	"Luigi Musso"
"2"	"Peter Collins"
"3"	"Eugenio Castellotti"
"7"	"Umberto Maglioli"
"13"	"Horace Gould"
"9"	"Roy Salvadori"
"15"	"Robert Manzon"
"17"	"Giorgio Scarlatti"
"6"	"Cesare Perdisa"
"18"	"Andre Pilette"
""	"Luigi Piotti"
""	""
