"positions"	"names"
"2"	"Piero Taruffi"
"5"	"Rudi Fischer"
"7"	"Jean Behra"
"13"	"Ken Wharton"
"15"	"Alan Brown"
"8"	"Toulo de Graffenried"
"19"	"Peter Hirt"
"17"	"Eric Brandon"
"11"	"Prince Bira"
"4"	"Nino Farina"
"4"	"Andre Simon"
"18"	"Harry Schell"
"9"	"Stirling Moss"
"12"	"Lance Macklin"
"3"	"Robert Manzon"
"1"	"Nino Farina"
"6"	"Peter Collins"
"10"	"George Abecassis"
"14"	"Hans Von Stuck"
"16"	"Toni Ulmen"
"20"	"Louis Rosier"
"21"	"Max de Terra"
