"positions"	"names"
"1"	"Alberto Ascari"
"5"	"Jose Froilan Gonzalez"
"2"	"Luigi Villoresi"
"3"	"Nino Farina"
"13"	"Felice Bonetto"
"8"	"Andre Simon"
"6"	"Piero Taruffi"
"18"	"Chico Landi"
"15"	"Ken Wharton"
"17"	"Louis Rosier"
"23"	"Eitel Cantoni"
"19"	"Dennis Poore"
"20"	"Eric Brandon"
"7"	"Robert Manzon"
"12"	"Alan Brown"
"9"	"Stirling Moss"
"25"	"Gino Bianco"
"11"	"Jean Behra"
"12"	"Mike Hawthorn"
"16"	"Franco Rol"
"4"	"Maurice Trintignant"
"22"	"Kenneth McAlpine"
"16"	"Rudi Fischer"
"10"	"Elie Bayol"
"<br>"	"Charles de Tornaco"
"<br>"	"Alberto Crespo"
"<br>"	"Toulo de Graffenried"
"<br>"	"Peter Collins"
"<br>"	"Peter Whitehead"
"<br>"	"Tony Gaze"
"<br>"	"Bill Aston"
"<br>"	"Lance Macklin"
"<br>"	"Hans Von Stuck"
"<br>"	"Piero Dusio"
"<br>"	"Johnny Claes"
