"positions"	"names"
"1"	"Alberto Ascari"
"2"	"Nino Farina"
"6"	"Rudi Fischer"
"5"	"Piero Taruffi"
"11"	"Jean Behra"
"17"	"Roger Laurent"
"12"	"Fritz Riess"
"15"	"Toni Ulmen"
"22"	"Helmut Niedermayr"
"32"	"Johnny Claes"
"8"	"Hans Klenk"
"29"	"Ernst Klodwig"
"4"	"Robert Manzon"
"9"	"Willi Heeks"
"14"	"Tony Gaze"
"19"	"Adolf Brudes"
"25"	"Marcel Balsa"
"30"	"Gunther Bechem"
"26"	"Eitel Cantoni"
"23"	"Rudolf Krause"
"24"	"Rudolf Schoeller"
"21"	"Bill Aston"
"3"	"Maurice Trintignant"
"7"	"Paul Pietsch"
"10"	"Felice Bonetto"
"13"	"Paul Frere"
"18"	"Theo Helfrich"
"20"	"Josef Peters"
"27"	"Piero Carini"
"16"	"Gino Bianco"
