"positions"	"names"
"2"	"Alberto Ascari"
"3"	"Piero Taruffi"
"7"	"Mike Hawthorn"
"8"	"Dennis Poore"
"9"	"Eric Thompson"
"1"	"Nino Farina"
"6"	"Reg Parnell"
"19"	"Roy Salvadori"
"5"	"Ken Downing"
"20"	"Peter Whitehead"
"10"	"Prince Bira"
"12"	"Graham Whitehead"
"15"	"Rudi Fischer"
"23"	"Johnny Claes"
"29"	"Lance Macklin"
"17"	"Kenneth McAlpine"
"32"	"Harry Schell"
"28"	"Gino Bianco"
"31"	"Toulo de Graffenried"
"18"	"Eric Brandon"
"25"	"Tony Crook"
"13"	"Alan Brown"
"14"	"Peter Collins"
"11"	"Duncan Hamilton"
"16"	"Stirling Moss"
"21"	"Maurice Trintignant"
"26"	"Tony Gaze"
"22"	"David Murray"
"4"	"Robert Manzon"
"24"	"Peter Hirt"
"27"	"Eitel Cantoni"
"<br>"	"Bill Aston"
