"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Lewis"	"Hamilton"	"HAM"	"Mercedes"
"2"	"Daniel"	"Ricciardo"	"RIC"	"Red Bull Racing TAG Heuer"
"3"	"Max"	"Verstappen"	"VER"	"Red Bull Racing TAG Heuer"
"4"	"Nico"	"Rosberg"	"ROS"	"Mercedes"
"5"	"Sebastian"	"Vettel"	"VET"	"Ferrari"
"6"	"Kimi"	"Räikkönen"	"RAI"	"Ferrari"
"7"	"Nico"	"Hulkenberg"	"HUL"	"Force India Mercedes"
"8"	"Jenson"	"Button"	"BUT"	"McLaren Honda"
"9"	"Valtteri"	"Bottas"	"BOT"	"Williams Mercedes"
"10"	"Sergio"	"Perez"	"PER"	"Force India Mercedes"
"11"	"Esteban"	"Gutierrez "	"GUT"	"Haas Ferrari"
"12"	"Fernando"	"Alonso"	"ALO"	"McLaren Honda"
"13"	"Romain"	"Grosjean"	"GRO"	"Haas Ferrari"
"14"	"Carlos"	"Sainz"	"SAI"	"Toro Rosso Ferrari"
"15"	"Daniil"	"Kvyat"	"KVY"	"Toro Rosso Ferrari"
"16"	"Kevin"	"Magnussen"	"MAG"	"Renault"
"17"	"Pascal"	"Wehrlein"	"WEH"	"MRT Mercedes"
"18"	"Marcus"	"Ericsson"	"ERI"	"Sauber Ferrari"
"19"	"Jolyon"	"Palmer"	"PAL"	"Renault"
"20"	"Rio"	"Haryanto"	"HAR"	"MRT Mercedes"
"NC"	"Felipe"	"Nasr"	"NAS"	"Sauber Ferrari"
"NC"	"Felipe"	"Massa"	"MAS"	"Williams Mercedes"
