"positions"	"names"
"1"	"Bill Vukovich"
"12"	"Art Cross"
"9"	"Sam Hanks"
"9"	"Duane Carter"
"2"	"Fred Agabashian"
"2"	"Paul Russo"
"3"	"Jack McGrath"
"21"	"Jimmy Daywalt"
"25"	"Jim Rathmann"
"25"	"Eddie Johnson"
"20"	"Ernie McCoy"
"6"	"Gene Hartley"
"6"	"Tony Bettenhausen"
"6"	"Chuck Stevenson"
"32"	"Jimmy Davies"
"26"	"Duke Nalon"
"19"	"Carl Scarborough"
"19"	"Bob Scott"
"4"	"Manny Ayulo"
"31"	"Jimmy Bryan"
"28"	"Bill Holland"
"28"	"Jim Rathmann"
"10"	"Rodger Ward"
"10"	"Andy Linden"
"10"	"Duke Dinsmore"
"14"	"Johnny Mantz"
"14"	"Walt Faulkner"
"22"	"Marshall Teague"
"18"	"Johnny Thomson"
"18"	"Jackie Holmes"
"18"	"Spider Webb"
"29"	"Bob Sweikert"
"23"	"Mike Nazaruk"
"24"	"Pat Flaherty"
"7"	"Andy Linden"
"7"	"Chuck Stevenson"
"7"	"Jerry Hoyt"
"27"	"Duane Carter"
"17"	"Paul Russo"
"8"	"Johnnie Parsons"
"15"	"Don Freeland"
"13"	"Gene Hartley"
"16"	"Chuck Stevenson"
"30"	"Cal Niday"
"11"	"Bob Scott"
"33"	"Johnny Thomson"
"5"	"Andy Linden"
