"positions"	"names"
"1"	"Alberto Ascari"
"4"	"Juan Manuel Fangio"
"5"	"Nino Farina"
"2"	"Jose Froilan Gonzalez"
"3"	"Mike Hawthorn"
"16"	"Felice Bonetto"
"19"	"Prince Bira"
"11"	"Ken Wharton"
"14"	"Peter Whitehead"
"24"	"Louis Rosier"
"15"	"Jimmy Stewart"
"10"	"Tony Rolt"
"6"	"Luigi Villoresi"
"7"	"Onofre Marimon"
"21"	"Alan Brown"
"23"	"Peter Collins"
"27"	"Jack Fairman"
"28"	"Roy Salvadori"
"26"	"Toulo de Graffenried"
"12"	"Lance Macklin"
"22"	"Jean Behra"
"20"	"Ian Stewart"
"8"	"Maurice Trintignant"
"17"	"Duncan Hamilton"
"9"	"Harry Schell"
"13"	"Kenneth McAlpine"
"25"	"Tony Crook"
"18"	"Bob Gerard"
