"positions"	"names"
"2"	"Juan Manuel Fangio"
"3"	"Nino Farina"
"5"	"Luigi Villoresi"
"6"	"Mike Hawthorn"
"8"	"Maurice Trintignant"
"16"	"Roberto Mieres"
"12"	"Luigi Musso"
"12"	"Sergio Mantovani"
"11"	"Umberto Maglioli"
"15"	"Harry Schell"
"25"	"Louis Chiron"
"23"	"Prince Bira"
"24"	"Alan Brown"
"10"	"Stirling Moss"
"29"	"Hans Von Stuck"
"28"	"Yves Giraud Cabantous"
"17"	"Louis Rosier"
"1"	"Alberto Ascari"
"7"	"Felice Bonetto"
"4"	"Onofre Marimon"
"9"	"Toulo de Graffenried"
"22"	"Jack Fairman"
"19"	"Ken Wharton"
"18"	"Kenneth McAlpine"
"20"	"Piero Carini"
"14"	"Roy Salvadori"
"21"	"Chico Landi"
"13"	"Elie Bayol"
"26"	"John Fitch"
"30"	"Johnny Claes"
"27"	"Lance Macklin"
