"positions"	"names"
"1"	"Alberto Ascari"
"3"	"Nino Farina"
"13"	"Jose Froilan Gonzalez"
"13"	"Felice Bonetto"
"6"	"Mike Hawthorn"
"7"	"Toulo de Graffenried"
"12"	"Maurice Trintignant"
"8"	"Louis Rosier"
"16"	"Peter Collins"
"9"	"Stirling Moss"
"4"	"Luigi Villoresi"
"14"	"Kenneth McAlpine"
"10"	"Harry Schell"
"17"	"Johnny Claes"
"2"	"Juan Manuel Fangio"
"19"	"Roberto Mieres"
"5"	"Jose Froilan Gonzalez"
"18"	"Ken Wharton"
"11"	"Roy Salvadori"
"15"	"Lance Macklin"
