"positions"	"names"
"7"	"Mike Hawthorn"
"4"	"Juan Manuel Fangio"
"5"	"Jose Froilan Gonzalez"
"1"	"Alberto Ascari"
"6"	"Nino Farina"
"3"	"Luigi Villoresi"
"9"	"Toulo de Graffenried"
"10"	"Louis Rosier"
"8"	"Onofre Marimon"
"22"	"Jean Behra"
"12"	"Bob Gerard"
"21"	"Johnny Claes"
"17"	"Peter Collins"
"18"	"Yves Giraud Cabantous"
"25"	"Louis Chiron"
"2"	"Felice Bonetto"
"13"	"Stirling Moss"
"11"	"Prince Bira"
"15"	"Elie Bayol"
"14"	"Ken Wharton"
"23"	"Maurice Trintignant"
"16"	"Lance Macklin"
"20"	"Harry Schell"
"24"	"Roberto Mieres"
"19"	"Roy Salvadori"
