"positions"	"names"
"3"	"Nino Farina"
"2"	"Juan Manuel Fangio"
"4"	"Mike Hawthorn"
"7"	"Felice Bonetto"
"11"	"Toulo de Graffenried"
"12"	"Stirling Moss"
"19"	"Jacques Swaters"
"
"	"Luigi Villoresi"
"1"	"Alberto Ascari"
"14"	"Hans Herrmann"
"22"	"Louis Rosier"
"20"	"Rodney Nuckey"
"28"	"Theo Helfrich"
"16"	"Kenneth McAlpine"
"26"	"Rudolf Krause"
"32"	"Ernst Klodwig"
"29"	"Wolfgang Seidel"
"6"	"Luigi Villoresi"
""	"Alberto Ascari"
"17"	"Alan Brown"
"8"	"Onofre Marimon"
"24"	"Edgar Barth"
"25"	"Johnny Claes"
"34"	"Oswald Karch"
"18"	"Willi Heeks"
"9"	"Jean Behra"
"10"	"Harry Schell"
"15"	"Prince Bira"
"21"	"Theo Fitzau"
"27"	"Kurt Adolff"
"30"	"Gunther Bechem"
"5"	"Maurice Trintignant"
"13"	"Roy Salvadori"
"33"	"Erwin Bauer"
"23"	"Hans Von Stuck"
"31"	"Ernst Loof"
