"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Graham"	"Hill"	"HIL"	"BRM"
"2"	"John"	"Surtees"	"SUR"	"Ferrari"
"3"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"4"	"Dan"	"Gurney"	"GUR"	"Brabham Ford"
"5"	"Richie"	"Ginther"	"GIN"	"BRM"
"6"	"Jack"	"Brabham"	"BRA"	"Brabham Ford"
"7"	"Lorenzo"	"Bandini"	"BAN"	"Ferrari"
"8"	"Mike"	"Spence"	"SPE"	"Lotus Climax"
"9"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"10"	"Jo"	"Bonnier"	"BON"	"Cooper Climax"
"11"	"Innes"	"Ireland"	"IRE"	"Lotus BRM"
"12"	"Jo"	"Siffert"	"SIF"	"Lotus BRM"
"13"	"Jochen"	"Rindt"	"RIN"	"Cooper Climax"
"14"	"Bob"	"Anderson"	"AND"	"Brabham Climax"
"15"	"Giancarlo"	"Baghetti"	"BAG"	"BRM"
"16"	"Trevor "	"Taylor "	"TAY"	"Lotus BRM"
"17"	"Chris"	"Amon"	"AMO"	"Lotus BRM"
"18"	"Mike"	"Hailwood"	"HAI"	"Lotus BRM"
"19"	"Tony"	"Maggs"	"MAG"	"BRM"
"20"	"Phil"	"Hill"	"HIL"	"Cooper Climax"
