races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
15,5,11,2,3,3,1,2,28,2,1,233,4,61,1
16,4,11,1,3,0,0,0,28,7,1,233,3,68,1
16,3,7,0,3,0,0,0,22,21,1,154,3,70,0
16,7,14,2,12,3,0,2,13,0,1,301,5,40,0
15,4,11,2,10,2,0,1,11,3,1,245,3,39,1
15,5,9,0,4,1,0,0,29,4,0,225,5,70,0
14,0,5,0,3,2,0,1,12,0,1,118,0,64,0
16,7,12,13,16,5,2,4,1,30,1,271,1,19,1
4,0,0,0,0,1,0,0,13,12,0,18,0,49,0
4,0,0,0,0,1,0,0,15,0,0,2,0,74,0
8,0,0,0,0,3,0,0,42,0,2,11,0,148,0
14,0,0,0,0,3,0,0,89,0,2,43,0,250,0
14,1,2,0,0,2,0,0,59,6,2,88,1,181,0
16,0,1,0,0,1,0,0,36,14,1,53,0,162,0
15,4,5,3,6,2,0,0,19,5,0,131,3,103,0
14,5,10,3,4,1,0,0,22,10,0,209,4,56,1
15,2,6,0,3,6,0,2,14,25,4,149,2,71,0
1,0,0,0,0,0,0,0,0,0,0,0,0,12,0
3,0,0,0,0,0,0,0,0,0,0,0,0,66,0
16,0,0,0,0,0,0,0,42,0,4,23,0,269,0
1,0,0,0,0,1,0,0,0,0,0,0,0,24,0
2,0,0,0,0,0,0,0,19,0,0,8,0,35,0
1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2,0,0,0,0,0,0,0,4,0,0,4,0,24,0
4,0,0,0,0,1,0,0,0,0,1,0,0,51,0
1,0,0,0,0,0,0,0,9,0,0,2,0,18,0
5,0,2,0,2,0,0,0,6,0,0,46,0,22,0
8,2,4,2,2,1,0,0,6,3,0,106,1,26,0
7,6,6,5,6,3,3,3,1,12,0,150,1,26,1
9,5,5,7,9,1,1,1,2,10,1,141,2,11,1
5,0,0,1,2,3,0,0,0,0,0,0,0,60,0
2,0,0,0,2,0,0,0,0,0,2,0,0,4,0
1,0,0,0,0,0,0,0,6,0,0,2,0,15,0
1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
1,0,0,0,0,0,0,0,7,0,0,8,0,13,0
1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
15,0,0,0,0,0,0,0,10,0,3,0,0,308,0
16,0,0,0,0,0,0,0,14,0,1,0,0,253,0
16,0,2,0,0,3,0,1,15,14,2,64,0,117,0
15,1,4,0,0,2,0,1,49,0,1,119,1,128,0
14,0,3,0,0,1,0,0,50,12,3,85,0,146,0
3,0,0,0,0,2,0,0,27,0,0,0,0,70,0
3,0,0,0,0,2,0,0,18,0,0,4,0,49,0
1,0,0,0,0,0,0,0,0,0,0,0,0,24,0
11,0,0,0,0,4,0,0,38,0,3,18,0,187,0
10,0,0,0,0,1,0,0,40,0,2,2,0,196,0
16,0,0,0,0,2,0,0,11,4,3,15,0,214,0
1,0,0,0,0,0,0,0,3,0,0,2,0,12,0
1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
1,0,0,0,0,0,0,0,16,0,0,0,0,27,0
13,0,0,0,0,0,0,0,9,0,0,0,0,287,0
13,0,0,0,0,3,0,0,55,0,1,15,0,236,0
14,0,0,0,0,3,0,0,30,4,4,34,0,187,0
11,0,0,0,0,1,0,0,110,0,1,29,0,236,0
2,0,0,0,0,1,0,0,24,0,0,1,0,49,0
1,0,0,0,0,0,0,0,10,0,0,0,0,22,0
9,0,0,0,0,1,0,0,59,0,0,8,0,193,0
4,0,0,0,0,1,0,0,0,0,0,0,0,83,0
2,0,0,0,0,1,0,0,0,0,2,0,0,43,0
3,0,0,0,0,0,0,0,6,0,1,0,0,66,0
11,0,0,0,0,0,0,0,47,0,2,7,0,231,0
21,0,0,0,0,1,0,0,62,18,1,92,0,234,0
