races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
10,0,2,0,0,0,0,0,12,2,0,56,0,71,1
10,0,1,0,0,1,0,1,18,0,0,46,0,97,1
11,1,3,0,1,3,0,0,28,2,2,79,1,86,0
9,0,3,0,0,0,0,0,37,0,0,102,0,74,1
3,0,1,0,0,0,0,0,9,0,0,18,0,31,1
1,0,0,0,0,0,0,0,0,0,0,0,0,15,1
5,0,0,0,0,0,0,0,28,0,1,10,0,98,1
15,0,1,0,0,6,0,0,42,7,3,35,0,195,1
1,0,0,0,0,0,0,0,9,0,0,4,0,17,0
1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
4,0,1,0,0,0,0,0,5,0,1,15,0,35,0
1,0,0,0,0,0,0,0,0,1,0,6,0,6,0
11,0,0,0,0,2,0,0,39,0,1,20,0,179,1
10,0,0,1,1,0,0,0,12,10,0,22,0,88,1
13,0,0,0,0,2,0,0,11,3,1,14,0,164,0
17,1,6,0,2,2,0,0,26,1,3,158,1,113,0
15,0,4,0,1,2,0,0,33,0,2,98,0,142,1
14,1,8,0,1,1,1,1,11,2,0,169,1,64,0
15,2,7,2,6,6,2,4,11,21,1,162,1,53,1
2,0,1,0,0,0,0,0,6,0,1,18,0,14,1
19,0,0,0,0,1,0,0,42,10,0,18,0,235,0
21,0,0,0,0,3,0,0,39,26,1,46,0,253,1
20,0,0,0,0,1,0,0,32,3,4,54,0,233,1
21,0,0,0,0,1,0,0,34,23,1,53,0,215,1
21,0,1,0,0,1,0,0,51,27,0,96,0,216,1
17,0,1,0,0,1,0,0,38,13,2,104,0,142,0
22,0,4,0,1,5,0,2,56,25,0,164,0,174,0
5,0,0,0,0,0,0,0,13,0,1,14,0,64,0
4,0,1,0,0,1,0,1,22,0,0,37,0,44,1
1,0,0,0,0,0,0,0,5,0,0,8,0,11,1
21,0,0,0,0,1,0,0,45,12,3,39,0,259,1
21,2,10,7,8,1,0,0,3,18,2,260,0,90,0
17,0,2,0,0,1,0,0,26,13,3,98,0,144,1
22,0,1,2,2,5,0,0,23,21,1,161,0,142,1
2,0,0,0,0,2,0,0,6,0,0,6,0,30,0
1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2,0,0,0,0,0,0,0,0,0,0,0,0,41,0
1,0,0,0,0,0,0,0,7,0,0,12,0,11,0
5,0,0,0,0,2,0,0,21,0,1,6,0,101,1
4,0,0,0,0,1,0,0,34,0,0,12,0,84,1
6,0,0,0,0,2,0,0,15,0,1,12,0,89,1
1,0,0,0,0,0,0,0,0,1,0,4,0,7,1
13,0,3,0,2,0,0,0,29,2,0,93,0,83,1
5,0,0,0,0,2,0,0,10,0,0,9,0,86,0
3,0,0,0,0,1,0,0,0,0,1,0,0,19,0
1,0,0,0,0,0,0,0,0,0,0,0,0,27,0
1,0,0,0,0,1,0,0,5,0,0,6,0,12,0
9,0,0,0,0,1,0,0,22,0,1,24,0,121,1
1,0,0,0,0,0,0,0,0,0,0,0,0,23,1
3,0,0,0,0,0,0,0,8,0,0,1,0,54,0
11,0,3,1,3,2,0,1,2,2,3,53,0,61,1
10,0,2,0,3,2,0,1,14,12,3,59,0,47,0
14,0,0,1,1,1,0,0,27,12,2,41,0,138,1
15,1,7,1,5,3,1,3,19,8,0,173,1,69,1
14,1,3,0,3,4,0,1,14,20,1,95,1,83,0
15,1,4,1,3,3,0,1,30,25,1,119,0,94,0
15,1,5,0,0,2,0,0,50,0,2,112,1,151,1
9,0,0,0,0,0,0,0,49,0,0,36,0,130,1
5,0,0,0,0,0,0,0,9,0,1,12,0,63,0
1,0,1,0,0,0,0,0,5,0,0,18,0,7,1
1,0,0,0,0,0,0,0,6,0,0,4,0,14,1
1,0,0,0,0,0,0,0,0,0,0,0,0,26,0
1,0,0,0,0,0,0,0,0,0,0,0,0,4,1
4,0,0,0,0,1,0,0,0,5,0,21,0,21,0
3,0,0,0,0,1,0,0,4,0,0,6,0,42,1
2,0,0,0,0,0,0,0,24,0,0,0,0,51,0
16,3,10,2,12,5,0,2,7,17,1,204,3,39,0
16,6,11,2,7,1,1,1,11,8,2,252,5,43,1
17,4,9,7,12,3,0,1,11,4,5,196,2,42,0
16,8,10,9,16,3,1,1,4,7,2,258,4,23,0
17,0,1,0,0,3,0,0,33,12,2,42,0,209,0
15,1,1,0,0,3,1,1,34,3,1,90,1,132,1
16,0,0,0,0,2,0,0,12,3,5,49,0,156,0
4,0,2,0,0,0,0,0,4,0,0,45,0,25,1
7,0,0,0,1,1,0,0,0,4,1,1,0,49,1
10,0,3,0,2,2,0,1,13,14,0,69,0,58,0
10,2,2,2,5,0,0,0,2,30,0,60,2,26,1
9,0,5,0,1,1,0,0,17,5,0,90,0,55,1
9,0,0,0,0,2,0,0,4,0,0,14,0,84,1
3,0,0,0,0,0,0,0,11,0,0,8,0,47,1
11,0,0,0,0,1,0,0,28,0,0,0,0,248,1
20,0,0,0,0,2,0,0,62,12,0,10,0,294,1
19,0,0,0,0,0,0,0,14,44,2,20,0,200,1
19,3,8,0,2,2,1,1,49,7,0,226,3,118,1
19,0,2,0,1,1,0,0,32,34,0,92,0,154,0
21,1,8,1,4,3,0,1,14,24,0,256,1,82,1
20,1,9,0,0,1,0,1,58,1,1,200,1,155,0
21,2,2,2,2,1,0,0,53,0,2,170,1,171,0
21,0,0,0,0,1,0,0,27,24,2,54,0,223,1
17,0,2,0,0,1,0,0,26,15,0,117,0,129,1
22,1,1,0,1,5,0,0,41,9,0,119,1,213,0
19,0,1,0,0,1,0,0,47,11,1,95,0,184,1
21,0,1,0,0,3,0,0,34,13,1,25,0,288,0
15,0,0,0,0,1,0,0,23,15,2,5,0,184,0
21,0,1,0,0,1,0,1,66,6,2,37,0,281,0
17,0,0,0,0,1,0,0,33,14,1,32,0,208,0
2,0,0,0,0,0,0,0,0,0,0,0,0,44,1
1,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,0,0,0,0,0,0,0,1,0,0,0,0,13,0
2,0,0,0,0,0,0,0,0,0,0,0,0,25,0
3,0,0,0,0,0,0,0,0,0,0,0,0,67,0
1,0,0,0,0,0,0,0,0,0,1,0,0,13,0
1,0,0,0,0,0,0,0,1,0,0,0,0,20,0
1,0,0,0,0,0,0,0,6,0,0,0,0,20,1
10,0,0,0,0,2,0,0,28,2,0,3,0,198,0
8,0,1,0,0,0,0,0,6,1,1,58,0,45,1
17,1,8,5,7,3,0,1,2,4,4,154,0,45,1
16,0,2,0,0,3,0,1,21,5,4,83,0,132,0
17,2,4,0,0,3,0,0,27,5,4,120,2,129,1
16,1,9,3,10,3,0,0,14,13,1,185,0,50,0
16,2,6,0,6,2,0,0,5,7,1,148,2,44,0
16,3,11,2,8,5,0,3,10,13,1,232,3,44,0
17,2,10,2,3,2,1,2,36,9,0,211,2,81,1
17,1,6,0,1,1,0,0,28,4,1,158,1,100,1
16,1,3,0,1,2,0,0,49,9,1,126,1,136,0
18,0,0,0,0,3,0,0,23,8,2,71,0,169,1
3,0,0,0,0,1,0,0,21,0,0,7,0,48,1
1,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,0,0,0,0,0,0,0,12,0,0,1,0,22,1
2,0,0,0,0,0,0,0,24,0,0,8,0,40,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
1,0,0,0,0,0,0,0,11,0,0,0,0,23,1
4,0,0,0,0,0,0,0,22,0,0,2,0,90,0
