"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"Nelson"	"Piquet"	"PIQ"	"Benetton Ford"
"2"	"Roberto"	"Moreno"	"MOR"	"Benetton Ford"
"3"	"Aguri"	"Suzuki"	"SUZ"	"Lola Lamborghini"
"4"	"Riccardo"	"Patrese"	"PAT"	"Williams Renault"
"5"	"Thierry"	"Boutsen"	"BOU"	"Williams Renault"
"6"	"Satoru"	"Nakajima"	"NAK"	"Tyrrell Ford"
"7"	"Nicola"	"Larini"	"LAR"	"Ligier Ford"
"8"	"Pierluigi"	"Martini"	"MAR"	"Minardi Ford"
"9"	"Alex"	"Caffi"	"CAF"	"Arrows Ford"
"10"	"Philippe"	"Alliot"	"ALL"	"Ligier Ford"
"NC"	"Derek"	"Warwick"	"WAR"	"Lotus Lamborghini"
"NC"	"Johnny"	"Herbert"	"HER"	"Lotus Lamborghini"
"NC"	"Michele"	"Alboreto"	"ALB"	"Arrows Ford"
"NC"	"Nigel"	"Mansell"	"MAN"	"Ferrari"
"NC"	"Emanuele"	"Pirro"	"PIR"	"Dallara Ford"
"NC"	"Eric"	"Bernard"	"BER"	"Lola Lamborghini"
"NC"	"Gianni"	"Morbidelli"	"MOR"	"Minardi Ford"
"NC"	"Ivan"	"Capelli"	"CAP"	"Leyton House Judd"
"NC"	"Andrea"	"de Cesaris"	"DEC"	"Dallara Ford"
"NC"	"Mauricio"	"Gugelmin"	"GUG"	"Leyton House Judd"
"NC"	"David"	"Brabham"	"BRA"	"Brabham Judd"
"NC"	"Gerhard"	"Berger"	"BER"	"McLaren Honda"
