"year"	"name"
"1985"	"T.FABI"
"1985"	"P.GHINZANI"
"1984"	"A.SENNA"
"1984"	"S.JOHANSSON"
"1984"	"P.MARTINI"
"1984"	"J.CECOTTO"
"1983"	"D.WARWICK"
"1983"	"B.GIACOMELLI"
"1982"	"D.WARWICK"
"1982"	"T.FABI"
"1981"	"B.HENTON"
"1981"	"D.WARWICK"
