"year"	"name"
"2012"	"P.De La ROSA"
"2012"	"D.CLOS"
"2012"	"Q.MA"
"2012"	"N.KARTHIKEYAN"
"2011"	"D.RICCIARDO"
"2011"	"N.KARTHIKEYAN"
"2011"	"J.CHAROUZ"
"2011"	"V.LIUZZI"
"2010"	"K.CHANDHOK"
"2010"	"S.YAMAMOTO"
"2010"	"C.KLIEN"
"2010"	"B.SENNA"
