"year"	"name"
"1962"	"J.CAMPBELL-JONES"
"1962"	"M.TRINTIGNANT"
"1962"	"C.ABATE"
"1962"	"R.RODRIGUEZ"
"1962"	"J.BRABHAM"
"1962"	"I.IRELAND"
"1962"	"M.GREGORY"
"1962"	"G.HOCKING"
"1962"	"E.PIETERSE"
"1962"	"R.PENSKE"
"1962"	"P.ARUNDELL"
"1962"	"S.van der VYVER"
"1962"	"J.SIFFERT"
"1962"	"S.TINGLE"
"1962"	"L.BIANCHI"
"1962"	"N.LEDERLE"
"1962"	"D.GURNEY"
"1962"	"N.VACCARELLA"
"1962"	"J.HALL"
"1962"	"J.CHAMBERLAIN"
"1962"	"R.SCHROEDER"
"1962"	"H.SCHILLER"
"1962"	"T.SHELLY"
"1962"	"W.SEIDEL"
"1962"	"G.SEIFFERT"
"1962"	"G.ASHMORE"
"1962"	"E.PRINOTH"
"1962"	"K.KUHNKE"
"1961"	"I.IRELAND"
"1961"	"S.MOSS"
"1961"	"J.CLARK"
"1961"	"M.MAY"
"1961"	"W.MAIRESSE"
"1961"	"L.BIANCHI"
"1961"	"T.PARNELL"
"1961"	"P.RYAN"
"1961"	"T.TAYLOR"
"1961"	"C.ALLISON"
"1961"	"J.HALL"
"1961"	"G.ASHMORE"
"1961"	"I.BURGESS"
"1961"	"H.TAYLOR"
"1961"	"O.GENDEBIEN"
"1961"	"M.GREGORY"
"1961"	"K.MILES"
"1961"	"W.SEIDEL"
"1961"	"L.RUBY"
"1961"	"J.BORDEU"
"1961"	"T.MAGGS"
"1961"	"T.MARSH"
"1961"	"E.PRINOTH"
"1961"	"G.STARRABBA"
"1960"	"I.IRELAND"
"1960"	"S.MOSS"
"1960"	"A.STACEY"
"1960"	"J.CLARK"
"1960"	"J.SURTEES"
"1960"	"M.TAYLOR"
"1960"	"R.FLOCKHART"
"1960"	"W.HANSGEN"
"1960"	"J.HALL"
"1960"	"D.PIPER"
"1960"	"A.RODRIGUEZ-LARRETA"
"1959"	"I.IRELAND"
"1959"	"G.HILL"
"1959"	"A.STACEY"
"1959"	"P.LOVELY"
"1959"	"B.HALFORD"
"1959"	"D.TAYLOR"
"1959"	"D.PIPER"
"1958"	"C.ALLISON"
"1958"	"G.HILL"
"1958"	"A.STACEY"
