"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"John"	"Surtees"	"SUR"	"Lotus Climax"
"2"	"Dan"	"Gurney"	"GUR"	"BRM"
"3"	"Jack"	"Brabham"	"BRA"	"Cooper Climax"
"4"	"Stirling"	"Moss"	"MOS"	"Lotus Climax"
"5"	"Graham"	"Hill"	"HIL"	"BRM"
"6"	"Bruce"	"McLaren"	"MCL"	"Cooper Climax"
"7"	"Innes"	"Ireland"	"IRE"	"Lotus Climax"
"8"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"9"	"Wolfgang"	"von Trips"	"VON"	"Ferrari"
"10"	"Phil"	"Hill"	"HIL"	"Ferrari"
"11"	"Masten"	"Gregory"	"GRE"	"Cooper Maserati"
"12"	"Tony"	"Brooks"	"BRO"	"Cooper Climax"
"13"	"Jo"	"Bonnier"	"BON"	"BRM"
"14"	"Olivier "	"Gendebien"	"GEN"	"Cooper Climax"
"15"	"Mario "	"de Araujo Cabral "	"DEA"	"Cooper Maserati"
