"position"	"driverName"	"driverSurname"	"driverInitials"	"driverTeam"
"1"	"John"	"Surtees"	"SUR"	"Cooper Maserati"
"2"	"Jim"	"Clark"	"CLA"	"Lotus Climax"
"3"	"Richie"	"Ginther"	"GIN"	"Honda"
"4"	"Jack"	"Brabham"	"BRA"	"Brabham Climax"
"5"	"Jochen"	"Rindt"	"RIN"	"Cooper Maserati"
"6"	"Denny"	"Hulme"	"HUL"	"Brabham Climax"
"7"	"Graham"	"Hill"	"HIL"	"BRM"
"8"	"Pedro"	"Rodriguez"	"ROD"	"Lotus Climax"
"9"	"Dan"	"Gurney"	"GUR"	"Eagle Climax"
"10"	"Jackie"	"Stewart"	"STE"	"BRM"
"11"	"Jo"	"Siffert"	"SIF"	"Cooper Maserati"
"12"	"Jo"	"Bonnier"	"BON"	"Brabham Climax"
"13"	"Ronnie"	"Bucknum"	"BUC"	"Honda"
"14"	"Bruce"	"McLaren"	"MCL"	"McLaren Serenissima"
"15"	"Moises"	"Solana"	"SOL"	"Cooper Maserati"
"16"	"Innes"	"Ireland"	"IRE"	"BRM"
"17"	"Peter "	"Arundell "	"ARU"	"Lotus Climax"
"18"	"Bob"	"Bondurant"	"BON"	"Eagle Climax"
