"positions"	"names"
"6"	"Rodger Ward"
"3"	"Jim Rathmann"
"1"	"Johnny Thomson"
"15"	"Tony Bettenhausen"
"16"	"Paul Goldsmith"
"11"	"Johnny Boyd"
"12"	"Duane Carter"
"8"	"Eddie Johnson"
"27"	"Paul Russo"
"17"	"Anthony Joseph Foyt"
"9"	"Gene Hartley"
"7"	"Bob Veith"
"23"	"Al Herman"
"13"	"Jimmy Daywalt"
"21"	"Chuck Arnold"
"33"	"Jim McWithey"
"2"	"Eddie Sachs"
"28"	"Al Keller"
"18"	"Pat Flaherty"
"4"	"Dick Rathmann"
"30"	"Bill Cheesbourg"
"25"	"Don Freeland"
"32"	"Ray Crawford"
"10"	"Don Branson"
"24"	"Bob Christie"
"5"	"Bobby Grim"
"14"	"Jack Turner"
"29"	"Chuck Weyant"
"19"	"Jud Larson"
"31"	"Mike Magill"
"26"	"Red Amick"
"22"	"Len Sutton"
"20"	"Jimmy Bryan"
