"positions"	"names"
"3"	"Jack Brabham"
"4"	"Tony Brooks"
"6"	"Maurice Trintignant"
"5"	"Phil Hill"
"13"	"Bruce McLaren"
"8"	"Roy Salvadori"
"1"	"Stirling Moss"
"10"	"Ron Flockhart"
"9"	"Harry Schell"
"7"	"Jo Bonnier"
"2"	"Jean Behra"
"14"	"Graham Hill"
"11"	"Masten Gregory"
"12"	"Wolfgang von Trips"
"15"	"Cliff Allison"
"16"	"Bruce Halford"
"<br>"	"Ivor Bueb"
"<br>"	"Giorgio Scarlatti"
"<br>"	"Alain de Changy"
"<br>"	"Lucien Bianchi"
"<br>"	"Maria Teresa de Filippis"
"<br>"	"Pete Lovely"
"<br>"	"Jean Lucienbonnet"
"<br>"	"Andre Testut"
