"positions"	"names"
"1"	"Stirling Moss"
"3"	"Masten Gregory"
"6"	"Dan Gurney"
"4"	"Maurice Trintignant"
"9"	"Harry Schell"
"12"	"Roy Salvadori"
"11"	"Ron Flockhart"
"13"	"Carroll Shelby"
"10"	"Tony Brooks"
"14"	"Mario de Araujo Cabral"
"8"	"Bruce McLaren"
"2"	"Jack Brabham"
"5"	"Jo Bonnier"
"7"	"Phil Hill"
"15"	"Graham Hill"
"16"	"Innes Ireland"
