"positions"	"names"
"10"	"Bruce McLaren"
"5"	"Maurice Trintignant"
"4"	"Tony Brooks"
"2"	"Jack Brabham"
"9"	"Innes Ireland"
"6"	"Wolfgang von Trips"
"16"	"Harry Blanchard"
"11"	"Cliff Allison"
"11"	"Roy Salvadori"
"19"	"Rodger Ward"
"14"	"Alessandro de Tomaso"
"8"	"Phil Hill"
"17"	"Fritz d'Orey"
"1"	"Stirling Moss"
"3"	"Harry Schell"
"15"	"George Constantine"
"12"	"Alan Stacey"
"13"	"Bob Said"
"<br>"	"Phil Cade"
