"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1965"	"1965 South African F1 GP"	"Team Lotus"	"0"	"DNQ"	"No Time"
"1963"	"1963 South African F1 GP"	"Team Lotus"	"12"	"DNF"	"Engine"
"1962"	"1962 South African F1 GP"	"Team Lotus"	"13"	"10"	""
