"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1953"	"1953 Italian F1 GP"	"AFM"	"29"	"14"	""
"1953"	"1953 German F1 GP"	"AFM"	"23"	"DNF"	"Retirement"
"1952"	"1952 Italian F1 GP"	"Ferrari"	"0"	"DNQ"	"Did not qualify"
"1952"	"1952 Swiss F1 GP"	"AFM"	"14"	"DNF"	"Engine"
