"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1965"	"1965 South African F1 GP"	"LDS"	"0"	"DNQ"	"No Time"
"1963"	"1963 South African F1 GP"	"LDS"	"18"	"11"	""
"1962"	"1962 South African F1 GP"	"LDS"	"14"	"DNF"	"Radiator"
