"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1956"	"1956 Indianapolis 500"	"Kurtis Kraft"	"33"	"17"	""
"1953"	"1953 Indianapolis 500"	"Kurtis Kraft"	"10"	"16"	"Axle"
"1951"	"1951 Indianapolis 500"	"Schroeder"	"32"	"24"	"Overheating"
"1950"	"1950 Indianapolis 500"	"Kurtis Kraft"	"7"	"33"	"Oil Leak"
