"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1952"	"1952 Dutch F1 GP"	"Maserati"	"16"	"9"	""
"1952"	"1952 Dutch F1 GP"	"Maserati"	"15"	"DNF"	"Differential"
