"year"	"race"	"team"	"startingPosition"	"finishingPosition"	"retirementReason"
"1964"	"1964 Mexican F1 GP"	"Brabham"	"19"	"13"	""
"1964"	"1964 USA F1 GP"	"Brabham"	"18"	"NC"	"Not Classified"
"1963"	"1963 Mexican F1 GP"	"Team Lotus"	"16"	"7"	""
"1963"	"1963 USA F1 GP"	"Team Lotus"	"18"	"DNF"	"Retirement"
"1962"	"1962 USA F1 GP"	"Cooper-Climax"	"15"	"11"	""
"1961"	"1961 USA F1 GP"	"Cooper-Climax"	"17"	"10"	""
