"positions"	"names"
"1"	"Nino Farina"
"2"	"Luigi Fagioli"
"4"	"Reg Parnell"
"6"	"Yves Giraud Cabantous"
"9"	"Louis Rosier"
"13"	"Bob Gerard"
"15"	"Cuth Harrison"
"14"	"Philippe Etancelin"
"16"	"David Hampshire"
"20"	"Joe Fry"
"20"	"Brian Shawe-Taylor"
"21"	"Johnny Claes"
"3"	"Juan Manuel Fangio"
"19"	"Joe Kelly"
"5"	"Prince Bira"
"18"	"David Murray"
"17"	"Geoff Crossley"
"8"	"Toulo de Graffenried"
"11"	"Louis Chiron"
"7"	"Eugene Martin"
"10"	"Peter Walker"
"10"	"Tony Rolt"
"12"	"Leslie Johnson"
