"positions"	"names"
"1"	"Juan Manuel Fangio"
"7"	"Mike Hawthorn"
"13"	"Umberto Maglioli"
"13"	"Jose Froilan Gonzalez"
"8"	"Hans Herrmann"
"11"	"Maurice Trintignant"
"18"	"Fred Wacker"
"16"	"Peter Collins"
"20"	"Louis Rosier"
"9"	"Sergio Mantovani"
"3"	"Stirling Moss"
"19"	"Jorge Daponte"
"2"	"Alberto Ascari"
"6"	"Luigi Villoresi"
"4"	"Karl Kling"
"10"	"Roberto Mieres"
"14"	"Luigi Musso"
"5"	"Jose Froilan Gonzalez"
"15"	"Robert Manzon"
"17"	"Clemar Bucci"
"12"	"Jean Behra"
"21"	"Giovanni de Riu"
