"positions"	"names"
"19"	"Bill Vukovich"
"3"	"Jimmy Bryan"
"1"	"Jack McGrath"
"11"	"Duane Carter"
"11"	"Troy Ruttman"
"14"	"Mike Nazaruk"
"24"	"Fred Agabashian"
"6"	"Don Freeland"
"32"	"Paul Russo"
"32"	"Jerry Hoyt"
"25"	"Larry Crockett"
"13"	"Cal Niday"
"27"	"Johnnie Parsons"
"27"	"Andy Linden"
"27"	"Art Cross"
"27"	"Jimmy Davies"
"27"	"Sam Hanks"
"5"	"Walt Faulkner"
"5"	"Chuck Stevenson"
"22"	"Manny Ayulo"
"9"	"Bob Sweikert"
"8"	"Duane Carter"
"8"	"Marshall Teague"
"8"	"Tony Bettenhausen"
"8"	"Jimmy Jackson"
"20"	"Ernie McCoy"
"7"	"Jimmy Reece"
"31"	"Ed Elisian"
"31"	"Bob Scott"
"33"	"Frank Armi"
"33"	"George Fonder"
"10"	"Jimmy Davies"
"10"	"Jim Rathmann"
"10"	"Sam Hanks"
"12"	"Pat O'Connor"
"16"	"Rodger Ward"
"16"	"Eddie Johnson"
"17"	"Gene Hartley"
"17"	"Marshall Teague"
"4"	"Andy Linden"
"4"	"Johnny Thomson"
"4"	"Jimmy Daywalt"
"23"	"Andy Linden"
"23"	"Bob Scott"
"30"	"Jerry Hoyt"
"2"	"Jimmy Daywalt"
"28"	"Pat Flaherty"
"28"	"Jim Rathmann"
"21"	"Tony Bettenhausen"
"29"	"Danny Kladis"
"29"	"Spider Webb"
"26"	"Len Duncan"
"26"	"George Fonder"
"15"	"Johnnie Parsons"
"18"	"Bill Homeier"
