"positions"	"names"
"2"	"Jose Froilan Gonzalez"
"3"	"Mike Hawthorn"
"28"	"Onofre Marimon"
"1"	"Juan Manuel Fangio"
"8"	"Maurice Trintignant"
"32"	"Roberto Mieres"
"6"	"Karl Kling"
"9"	"Ken Wharton"
"12"	"Andre Pilette"
"18"	"Bob Gerard"
"17"	"Don Beauman"
"16"	"Harry Schell"
"22"	"Leslie Marr"
"23"	"Leslie Thorne"
"20"	"Horace Gould"
"4"	"Stirling Moss"
"19"	"Bill Whitehouse"
"5"	"Jean Behra"
"7"	"Roy Salvadori"
"10"	"Ron Flockhart"
"10"	"Prince Bira"
"27"	"Luigi Villoresi"
"27"	"Alberto Ascari"
"21"	"John Riseley-Prichard"
"14"	"Reg Parnell"
"30"	"Alberto Ascari"
"13"	"Clemar Bucci"
"11"	"Peter Collins"
"15"	"Robert Manzon"
"24"	"Peter Whitehead"
"25"	"Eric Brandon"
"31"	"Louis Rosier"
"26"	"Alan Brown"
"29"	"Rodney Nuckey"
