"positions"	"names"
"1"	"Juan Manuel Fangio"
"5"	"Mike Hawthorn"
"5"	"Jose Froilan Gonzalez"
"7"	"Maurice Trintignant"
"23"	"Karl Kling"
"15"	"Sergio Mantovani"
"13"	"Piero Taruffi"
"14"	"Harry Schell"
"11"	"Louis Rosier"
"12"	"Robert Manzon"
"9"	"Jean Behra"
"19"	"Prince Bira"
"13"	"Hermann Lang"
"16"	"Clemar Bucci"
"21"	"Theo Helfrich"
"4"	"Hans Herrmann"
"4"	"Paul Frere"
"3"	"Mike Hawthorn"
"17"	"Roberto Mieres"
"3"	"Stirling Moss"
"20"	"Andre Pilette"
"8"	"Onofre Marimon"
"10"	"Luigi Villoresi"
"22"	"Ken Wharton"
