"positions"	"names"
"2"	"Stirling Moss"
"1"	"Juan Manuel Fangio"
"5"	"Harry Schell"
"7"	"Masten Gregory"
"8"	"Stuart Lewis-Evans"
"10"	"Giorgio Scarlatti"
"16"	"Jack Brabham"
"3"	"Luigi Musso"
"12"	"Paco Godia"
"14"	"Bruce Halford"
"9"	"Jo Bonnier"
"4"	"Jean Behra"
"15"	"Roy Salvadori"
"6"	"Tony Brooks"
"11"	"Horace Gould"
"13"	"Luigi Piotti"
