"positions"	"names"
"13"	"Sam Hanks"
"32"	"Jim Rathmann"
"15"	"Jimmy Bryan"
"10"	"Paul Russo"
"12"	"Andy Linden"
"5"	"Johnny Boyd"
"28"	"Marshall Teague"
"1"	"Pat O'Connor"
"16"	"Bob Veith"
"14"	"Gene Hartley"
"19"	"Jack Turner"
"11"	"Johnny Thomson"
"33"	"Bob Christie"
"25"	"Chuck Weyant"
"22"	"Tony Bettenhausen"
"17"	"Johnnie Parsons"
"21"	"Don Freeland"
"6"	"Jimmy Reece"
"27"	"Don Edmunds"
"31"	"Johnnie Tolan"
"30"	"Al Herman"
"4"	"Fred Agabashian"
"2"	"Eddie Sachs"
"18"	"Mike Magill"
"20"	"Eddie Johnson"
"23"	"Bill Cheesbourg"
"8"	"Al Keller"
"29"	"Jimmy Daywalt"
"7"	"Ed Elisian"
"24"	"Rodger Ward"
"3"	"Troy Ruttman"
"26"	"Eddie Russo"
"9"	"Elmer George"
